# Title: October 2023 - September 2024 Contiguous U.S. County Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
# Note: Period of Record: 129 Years
ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
AR-039,Dallas County,Arkansas,63.7,1.4,113,62.2
AR-041,Desha County,Arkansas,64.8,2,124,62.7
AR-043,Drew County,Arkansas,65.2,2.4,124,62.8
AR-045,Faulkner County,Arkansas,62.5,2,120,60.5
AR-047,Franklin County,Arkansas,62.1,2.8,128,59.3
AR-049,Fulton County,Arkansas,59.9,3.3,126,56.6
AR-051,Garland County,Arkansas,63.1,2.3,125,60.8
AR-053,Grant County,Arkansas,63.7,1.6,117,62.1
AR-055,Greene County,Arkansas,61.9,2.9,127,59
AR-057,Hempstead County,Arkansas,63.9,1.3,108,62.6
AR-059,Hot Spring County,Arkansas,63.6,1.8,120,61.7
AR-061,Howard County,Arkansas,62.9,1.7,116,61.3
AR-063,Independence County,Arkansas,61.2,2.5,122,58.8
AR-065,Izard County,Arkansas,60.2,2.8,126,57.5
AR-067,Jackson County,Arkansas,61.8,2.3,120,59.6
AR-069,Jefferson County,Arkansas,64.3,2.1,122,62.2
AR-071,Johnson County,Arkansas,61.2,2.6,127,58.6
AR-073,Lafayette County,Arkansas,65.3,1.8,118,63.5
AR-075,Lawrence County,Arkansas,61.3,2.6,124,58.7
AR-077,Lee County,Arkansas,64.2,2.6,125,61.6
AR-079,Lincoln County,Arkansas,64.9,2.4,125,62.4
AR-081,Little River County,Arkansas,64.9,2.3,124,62.6
AR-083,Logan County,Arkansas,62.8,2.7,128,60.2
AR-085,Lonoke County,Arkansas,63.8,2.2,123,61.6
AR-087,Madison County,Arkansas,59.6,3.2,128,56.5
AR-089,Marion County,Arkansas,59.8,2.7,128,57.1
AR-091,Miller County,Arkansas,65.8,2.2,123,63.6
AR-093,Mississippi County,Arkansas,62.5,2.3,123,60.2
AR-095,Monroe County,Arkansas,64.3,2.6,126,61.7
AR-097,Montgomery County,Arkansas,62.6,2.4,125,60.2
AR-099,Nevada County,Arkansas,63.7,1,102,62.7
AR-101,Newton County,Arkansas,58.9,2.4,125,56.4
AR-103,Ouachita County,Arkansas,64.1,1,109,63
AR-105,Perry County,Arkansas,62.8,2.1,122,60.8
AR-107,Phillips County,Arkansas,64.5,2.6,125,61.9
AR-109,Pike County,Arkansas,62.9,1.7,118,61.2
AR-111,Poinsett County,Arkansas,62.4,2.3,122,60.1
AR-113,Polk County,Arkansas,61.3,2,118,59.3
AR-115,Pope County,Arkansas,61.6,2.5,128,59.1
AR-117,Prairie County,Arkansas,64,2.5,126,61.6
AR-119,Pulaski County,Arkansas,63.5,2.1,122,61.5
AR-121,Randolph County,Arkansas,61,3,127,58
AR-123,St. Francis County,Arkansas,63.6,2.3,123,61.3
AR-125,Saline County,Arkansas,63.1,1.9,119,61.2
AR-127,Scott County,Arkansas,62.2,2.4,125,59.8
AR-129,Searcy County,Arkansas,59.2,2.2,123,57
AR-131,Sebastian County,Arkansas,63.3,3,126,60.4
AR-133,Sevier County,Arkansas,63.7,2.1,123,61.7
AR-135,Sharp County,Arkansas,60.2,2.8,125,57.4
AR-137,Stone County,Arkansas,60.4,2.7,126,57.7
AR-139,Union County,Arkansas,65.1,1.9,119,63.3
AR-141,Van Buren County,Arkansas,60.5,2.3,123,58.2
AR-143,Washington County,Arkansas,60.8,3.4,128,57.3
AR-145,White County,Arkansas,62.9,2.5,124,60.3
AR-147,Woodruff County,Arkansas,62.9,2.1,120,60.8
AR-149,Yell County,Arkansas,63,2.5,126,60.5
CA-001,Alameda County,California,61.3,3.4,128,57.9
CA-003,Alpine County,California,46.3,3,126,43.3
CA-005,Amador County,California,60,2.7,125,57.2
CA-007,Butte County,California,62.1,3.3,127,58.8
CA-009,Calaveras County,California,60.4,2.7,126,57.6
CA-011,Colusa County,California,63.9,3.5,127,60.4
CA-013,Contra Costa County,California,62.1,3.3,126,58.8
CA-015,Del Norte County,California,53.3,2.5,122,50.8
CA-017,El Dorado County,California,55.9,2.6,125,53.4
CA-019,Fresno County,California,57.9,3.5,126,54.4
CA-021,Glenn County,California,62.3,3,126,59.3
CA-023,Humboldt County,California,55.6,2.7,127,53
CA-025,Imperial County,California,75.8,3.6,125,72.2
CA-027,Inyo County,California,62.6,3.1,124,59.6
CA-029,Kern County,California,63.8,3.3,125,60.5
CA-031,Kings County,California,66.3,3.8,128,62.5
CA-033,Lake County,California,58.9,2.5,125,56.3
CA-035,Lassen County,California,49.1,3,125,46.1
CA-037,Los Angeles County,California,62.7,2.8,116,59.9
CA-039,Madera County,California,58.5,3.4,127,55.2
CA-041,Marin County,California,58,3.1,128,54.8
CA-043,Mariposa County,California,57.7,3.1,127,54.5
CA-045,Mendocino County,California,57,2.1,124,54.8
CA-047,Merced County,California,64.4,3.4,128,61
CA-049,Modoc County,California,49.1,3.6,126,45.6
CA-051,Mono County,California,46.3,3.1,125,43.3
CA-053,Monterey County,California,60.1,2.9,126,57.2
CA-055,Napa County,California,61.1,2.9,125,58.2
CA-057,Nevada County,California,54.2,2.5,125,51.7
CA-059,Orange County,California,64.9,2.6,114,62.4
CA-061,Placer County,California,55.6,2.5,125,53
CA-063,Plumas County,California,49.5,2.7,125,46.8
CA-065,Riverside County,California,69.9,3.1,122,66.8
CA-067,Sacramento County,California,64.4,3.3,128,61.1
CA-069,San Benito County,California,60.8,3.4,126,57.4
CA-071,San Bernardino County,California,68.1,3,121,65.1
CA-073,San Diego County,California,63.9,2.7,116,61.2
CA-075,San Francisco County,California,58.3,2.6,126,55.8
CA-077,San Joaquin County,California,64.5,3.7,129,60.8
CA-079,San Luis Obispo County,California,61.1,3.1,125,58
CA-081,San Mateo County,California,58.2,2.8,126,55.4
CA-083,Santa Barbara County,California,59.6,2.9,118,56.6
CA-085,Santa Clara County,California,60.3,3.4,128,56.9
CA-087,Santa Cruz County,California,58.8,3.1,125,55.7
CA-089,Shasta County,California,57.2,2.9,125,54.3
CA-091,Sierra County,California,49.1,2.7,124,46.4
CA-093,Siskiyou County,California,51,3.2,125,47.8
CA-095,Solano County,California,62.9,3.1,128,59.8
CA-097,Sonoma County,California,58.5,2.5,125,56.1
CA-099,Stanislaus County,California,63.7,3.3,128,60.4
CA-101,Sutter County,California,65.3,3.5,128,61.8
CA-103,Tehama County,California,60.7,2.7,125,57.9
CA-105,Trinity County,California,54.6,3,127,51.6
CA-107,Tulare County,California,56.5,3.2,126,53.2
CA-109,Tuolumne County,California,52.4,2.8,126,49.6
CA-111,Ventura County,California,58.9,2.9,116,56
CA-113,Yolo County,California,63.8,2.9,126,60.9
CA-115,Yuba County,California,62.9,3,126,59.8
CO-001,Adams County,Colorado,51.8,3.3,126,48.5
CO-003,Alamosa County,Colorado,44.9,3.1,124,41.8
CO-005,Arapahoe County,Colorado,51.3,3.1,126,48.2
CO-007,Archuleta County,Colorado,45,2.4,120,42.6
CO-009,Baca County,Colorado,55.9,2.7,127,53.2
CO-011,Bent County,Colorado,55.8,3.1,126,52.7
CO-013,Boulder County,Colorado,45.7,1.9,119,43.8
CO-014,Broomfield County,Colorado,52.4,2.8,122,49.6
CO-015,Chaffee County,Colorado,38.8,1.3,112,37.4
CO-017,Cheyenne County,Colorado,53.8,3.2,127,50.5
CO-019,Clear Creek County,Colorado,38.7,2.2,121,36.5
CO-021,Conejos County,Colorado,41.9,2.5,123,39.3
CO-023,Costilla County,Colorado,42.8,1.8,113,40.9
CO-025,Crowley County,Colorado,54.4,3.6,128,50.9
CO-027,Custer County,Colorado,43,2.3,123,40.7
CO-029,Delta County,Colorado,48.1,3.1,120,45
CO-031,Denver County,Colorado,52.8,3.1,125,49.6
CO-033,Dolores County,Colorado,44.6,2.8,119,41.8
CO-035,Douglas County,Colorado,49,2.6,123,46.4
CO-037,Eagle County,Colorado,40.2,1.7,115,38.5
CO-039,Elbert County,Colorado,50.1,3.3,127,46.7
CO-041,El Paso County,Colorado,50.2,3.1,126,47
CO-043,Fremont County,Colorado,46.9,2,121,45
CO-045,Garfield County,Colorado,45.1,3,121,42.1
CO-047,Gilpin County,Colorado,40.1,1.5,116,38.6
CO-049,Grand County,Colorado,38.2,1.9,118,36.3
CO-051,Gunnison County,Colorado,39.6,2.5,120,37.1
CO-053,Hinsdale County,Colorado,36.7,2.3,117,34.3
CO-055,Huerfano County,Colorado,48.5,2.4,123,46
CO-057,Jackson County,Colorado,37.3,1.6,110,35.6
CO-059,Jefferson County,Colorado,47.9,2.3,122,45.6
CO-061,Kiowa County,Colorado,54.6,3,126,51.6
CO-063,Kit Carson County,Colorado,53.5,3.5,126,50
CO-065,Lake County,Colorado,34.4,0.6,87,33.8
CO-067,La Plata County,Colorado,46.5,3,123,43.5
CO-069,Larimer County,Colorado,43.7,2.8,121,40.9
CO-071,Las Animas County,Colorado,52.8,2.5,123,50.3
CO-073,Lincoln County,Colorado,52,3.2,127,48.8
CO-075,Logan County,Colorado,52.1,3.2,126,48.9
CO-077,Mesa County,Colorado,49.6,4,126,45.6
CO-079,Mineral County,Colorado,37,1.7,108,35.3
CO-081,Moffat County,Colorado,45.8,3.4,122,42.4
CO-083,Montezuma County,Colorado,50.8,3.4,126,47.3
CO-085,Montrose County,Colorado,49.6,4,125,45.6
CO-087,Morgan County,Colorado,52.2,4.3,127,47.9
CO-089,Otero County,Colorado,55.6,3.2,126,52.4
CO-091,Ouray County,Colorado,43.7,4,125,39.7
CO-093,Park County,Colorado,39.1,1.4,114,37.7
CO-095,Phillips County,Colorado,52.6,3.6,126,49
CO-097,Pitkin County,Colorado,38.3,1.4,104,36.9
CO-099,Prowers County,Colorado,55.6,2.6,125,53
CO-101,Pueblo County,Colorado,54.4,3.1,125,51.3
CO-103,Rio Blanco County,Colorado,46,3.2,122,42.7
CO-105,Rio Grande County,Colorado,41.7,3.3,122,38.5
CO-107,Routt County,Colorado,40.9,2.4,118,38.5
CO-109,Saguache County,Colorado,40.8,2.3,122,38.5
CO-111,San Juan County,Colorado,35.5,2.2,115,33.3
CO-113,San Miguel County,Colorado,46.4,3.3,124,43.1
CO-115,Sedgwick County,Colorado,52.1,3,126,49
CO-117,Summit County,Colorado,36.2,1.5,112,34.7
CO-119,Teller County,Colorado,41.6,1.9,119,39.7
CO-121,Washington County,Colorado,51.9,3.2,125,48.7
CO-123,Weld County,Colorado,50.9,3.4,126,47.5
CO-125,Yuma County,Colorado,53.6,3.8,126,49.8
CT-001,Fairfield County,Connecticut,53.8,4.5,127,49.3
CT-003,Hartford County,Connecticut,52.9,4.5,127,48.4
CT-005,Litchfield County,Connecticut,50.6,4.5,127,46
CT-007,Middlesex County,Connecticut,53,4.1,127,48.9
CT-009,New Haven County,Connecticut,52.9,4,127,48.9
CT-011,New London County,Connecticut,53,4.3,127,48.7
CT-013,Tolland County,Connecticut,51.7,4.3,127,47.4
CT-015,Windham County,Connecticut,51.7,4.1,127,47.6
DE-001,Kent County,Delaware,57.8,3.8,126,54
DE-003,New Castle County,Delaware,56.9,3.6,126,53.3
DE-005,Sussex County,Delaware,58.1,3.3,122,54.8
FL-001,Alachua County,Florida,70.4,1.7,118,68.7
FL-003,Baker County,Florida,69.4,2,121,67.4
FL-005,Bay County,Florida,69.1,1.7,117,67.4
FL-007,Bradford County,Florida,70.1,1.9,120,68.2
FL-009,Brevard County,Florida,74,2.4,122,71.6
FL-011,Broward County,Florida,77.3,3.3,126,74
FL-013,Calhoun County,Florida,68.6,1.7,117,66.8
FL-015,Charlotte County,Florida,74.7,1.9,117,72.8
FL-017,Citrus County,Florida,72.4,2.6,124,69.8
FL-019,Clay County,Florida,71,2.6,124,68.4
FL-021,Collier County,Florida,76.7,2.7,127,73.9
FL-023,Columbia County,Florida,69.2,1.6,117,67.6
FL-027,DeSoto County,Florida,74.2,2.1,123,72.1
FL-029,Dixie County,Florida,70.3,2.2,121,68.1
FL-031,Duval County,Florida,70.7,2.7,123,68
FL-033,Escambia County,Florida,68.4,1.3,114,67
FL-035,Flagler County,Florida,72.6,3.1,123,69.5
FL-037,Franklin County,Florida,69.5,1.7,116,67.7
FL-039,Gadsden County,Florida,68.5,1.7,120,66.8
FL-041,Gilchrist County,Florida,70,1.9,118,68.1
FL-043,Glades County,Florida,75,2.4,124,72.6
FL-045,Gulf County,Florida,69.2,1.9,117,67.3
FL-047,Hamilton County,Florida,68.6,1.6,119,67.1
FL-049,Hardee County,Florida,74.2,2.6,124,71.6
FL-051,Hendry County,Florida,75.7,2.6,124,73.1
FL-053,Hernando County,Florida,73.1,3.1,125,70.1
FL-055,Highlands County,Florida,74.4,2.5,123,71.9
FL-057,Hillsborough County,Florida,74.3,3.1,123,71.3
FL-059,Holmes County,Florida,67.6,1.2,109,66.4
FL-061,Indian River County,Florida,74.4,2.7,125,71.7
FL-063,Jackson County,Florida,68.1,1.1,109,67
FL-065,Jefferson County,Florida,68.8,1.8,119,67
FL-067,Lafayette County,Florida,69.4,1.8,118,67.6
FL-069,Lake County,Florida,73.4,3,124,70.4
FL-071,Lee County,Florida,75.5,2.1,117,73.4
FL-073,Leon County,Florida,69,2,122,67
FL-075,Levy County,Florida,71.2,2.5,123,68.7
FL-077,Liberty County,Florida,68.8,1.9,118,67
FL-079,Madison County,Florida,68.6,1.7,119,66.9
FL-081,Manatee County,Florida,74,2.3,122,71.7
FL-083,Marion County,Florida,72.1,2.6,124,69.5
FL-085,Martin County,Florida,76,3.1,124,72.9
FL-086,Miami-Dade County,Florida,77.9,3.6,125,74.3
FL-087,Monroe County,Florida,78.3,3.4,126,74.9
FL-089,Nassau County,Florida,70,2.6,124,67.3
FL-091,Okaloosa County,Florida,68,1.4,112,66.6
FL-093,Okeechobee County,Florida,74.7,2.7,124,72
FL-095,Orange County,Florida,74.2,2.9,124,71.3
FL-097,Osceola County,Florida,74.4,2.7,123,71.7
FL-099,Palm Beach County,Florida,76.4,3,124,73.4
FL-101,Pasco County,Florida,73.6,3.1,124,70.4
FL-103,Pinellas County,Florida,74.7,2.8,123,71.9
FL-105,Polk County,Florida,74.4,2.9,123,71.5
FL-107,Putnam County,Florida,72,2.8,123,69.2
FL-109,St. Johns County,Florida,71.9,3.2,123,68.8
FL-111,St. Lucie County,Florida,75.2,2.7,124,72.4
FL-113,Santa Rosa County,Florida,68.2,1.2,111,67
FL-115,Sarasota County,Florida,74,1.7,114,72.3
FL-117,Seminole County,Florida,73.8,2.7,123,71.2
FL-119,Sumter County,Florida,72.9,2.8,125,70.1
FL-121,Suwannee County,Florida,69,1.5,118,67.5
FL-123,Taylor County,Florida,69.6,1.9,121,67.6
FL-125,Union County,Florida,69.6,1.6,119,68
FL-127,Volusia County,Florida,73.1,2.7,123,70.4
FL-129,Wakulla County,Florida,69.4,1.9,120,67.5
FL-131,Walton County,Florida,67.9,1.4,115,66.5
FL-133,Washington County,Florida,68.2,1.3,113,66.9
GA-001,Appling County,Georgia,67.7,1.8,119,65.9
GA-003,Atkinson County,Georgia,67.8,1.8,122,66
GA-005,Bacon County,Georgia,67.9,1.9,123,66
GA-007,Baker County,Georgia,67.5,1.4,112,66.1
GA-009,Baldwin County,Georgia,65.3,2,120,63.3
GA-011,Banks County,Georgia,62.8,2.4,127,60.4
GA-013,Barrow County,Georgia,63.3,2.8,127,60.5
GA-015,Bartow County,Georgia,62.1,1.9,122,60.2
GA-017,Ben Hill County,Georgia,67.1,2,122,65.1
GA-019,Berrien County,Georgia,67,1.3,109,65.8
GA-021,Bibb County,Georgia,65.1,1.7,117,63.4
GA-023,Bleckley County,Georgia,65.8,1.4,112,64.4
GA-025,Brantley County,Georgia,68.3,2.2,121,66.1
GA-027,Brooks County,Georgia,67.5,1.2,114,66.2
GA-029,Bryan County,Georgia,67.5,1.4,115,66
GA-031,Bulloch County,Georgia,66.6,1.6,116,65
GA-033,Burke County,Georgia,65.4,1.9,118,63.5
GA-035,Butts County,Georgia,64.3,2.5,121,61.8
GA-037,Calhoun County,Georgia,67,1.4,111,65.6
GA-039,Camden County,Georgia,69.4,2.3,124,67
GA-043,Candler County,Georgia,66.7,1.7,118,65
GA-045,Carroll County,Georgia,62.6,2.8,124,59.8
GA-047,Catoosa County,Georgia,62.1,2.8,127,59.3
GA-049,Charlton County,Georgia,69.3,2.5,124,66.8
GA-051,Chatham County,Georgia,67.5,1.4,111,66.1
GA-053,Chattahoochee County,Georgia,65.5,1.4,113,64.1
GA-055,Chattooga County,Georgia,61.3,1.4,113,59.9
GA-057,Cherokee County,Georgia,61.7,2.3,124,59.5
GA-059,Clarke County,Georgia,63.9,2.9,127,61
GA-061,Clay County,Georgia,66.7,1.3,111,65.4
GA-063,Clayton County,Georgia,64,2.9,123,61.1
GA-065,Clinch County,Georgia,68.5,2,122,66.5
GA-067,Cobb County,Georgia,62.7,2.6,124,60.1
GA-069,Coffee County,Georgia,67.7,2,125,65.6
GA-071,Colquitt County,Georgia,66.8,1.1,110,65.7
GA-073,Columbia County,Georgia,65.1,2.3,122,62.8
GA-075,Cook County,Georgia,66.9,1.1,107,65.8
GA-077,Coweta County,Georgia,63.7,2.7,122,61
GA-079,Crawford County,Georgia,64.8,1.6,115,63.2
GA-081,Crisp County,Georgia,66.7,2.2,121,64.5
GA-083,Dade County,Georgia,60.8,2.3,124,58.6
GA-085,Dawson County,Georgia,60.4,2.1,127,58.2
GA-087,Decatur County,Georgia,68.1,1.5,114,66.6
GA-089,DeKalb County,Georgia,63.5,3,126,60.6
GA-091,Dodge County,Georgia,66.3,1.5,114,64.9
GA-093,Dooly County,Georgia,66.3,2,121,64.3
GA-095,Dougherty County,Georgia,67.3,1.5,114,65.8
GA-097,Douglas County,Georgia,63,2.9,125,60.1
GA-099,Early County,Georgia,67.3,1.2,113,66.1
GA-101,Echols County,Georgia,68.3,1.6,120,66.7
GA-103,Effingham County,Georgia,66.6,1.4,112,65.1
GA-105,Elbert County,Georgia,64.2,3.3,129,60.9
GA-107,Emanuel County,Georgia,66.3,1.9,119,64.5
GA-109,Evans County,Georgia,67.2,1.5,116,65.7
GA-111,Fannin County,Georgia,57.9,1.9,125,56
GA-113,Fayette County,Georgia,64,2.7,124,61.2
GA-115,Floyd County,Georgia,61.9,1.4,115,60.4
GA-117,Forsyth County,Georgia,61.6,2.4,127,59.3
GA-119,Franklin County,Georgia,62.9,2.4,127,60.5
GA-121,Fulton County,Georgia,63.3,3,126,60.3
GA-123,Gilmer County,Georgia,59,2,126,57
GA-125,Glascock County,Georgia,65,2.1,124,62.9
GA-127,Glynn County,Georgia,68.9,1.9,119,67
GA-129,Gordon County,Georgia,62,1.9,124,60.1
GA-131,Grady County,Georgia,68,1.6,119,66.4
GA-133,Greene County,Georgia,64.6,2.7,127,61.9
GA-135,Gwinnett County,Georgia,62.9,2.8,127,60.1
GA-137,Habersham County,Georgia,60.8,2.3,126,58.5
GA-139,Hall County,Georgia,62,2.5,127,59.6
GA-141,Hancock County,Georgia,64.9,2.2,124,62.7
GA-143,Haralson County,Georgia,61.7,2.4,121,59.3
GA-145,Harris County,Georgia,64.1,1.6,117,62.5
GA-147,Hart County,Georgia,63.1,2.7,127,60.4
GA-149,Heard County,Georgia,63.3,2.4,123,60.8
GA-151,Henry County,Georgia,64.1,2.6,123,61.5
GA-153,Houston County,Georgia,65.7,1.6,114,64.1
GA-155,Irwin County,Georgia,67,1.8,116,65.2
GA-157,Jackson County,Georgia,63.3,2.7,127,60.6
GA-159,Jasper County,Georgia,64.4,2.6,121,61.8
GA-161,Jeff Davis County,Georgia,67.5,2,125,65.5
GA-163,Jefferson County,Georgia,65.4,2.1,123,63.3
GA-165,Jenkins County,Georgia,65.8,1.9,117,63.9
GA-167,Johnson County,Georgia,66.1,1.9,122,64.2
GA-169,Jones County,Georgia,64.9,2,119,62.8
GA-171,Lamar County,Georgia,64.2,2.1,119,62
GA-173,Lanier County,Georgia,67.6,1.5,118,66.1
GA-175,Laurens County,Georgia,66.3,1.6,118,64.6
GA-177,Lee County,Georgia,67,1.8,119,65.2
GA-179,Liberty County,Georgia,67.8,1.5,116,66.3
GA-181,Lincoln County,Georgia,64.8,2.7,126,62.1
GA-183,Long County,Georgia,67.9,1.6,117,66.3
GA-185,Lowndes County,Georgia,67.6,1.3,116,66.3
GA-187,Lumpkin County,Georgia,59.6,2.2,127,57.4
GA-189,McDuffie County,Georgia,64.7,2.3,125,62.4
GA-191,McIntosh County,Georgia,68.5,1.7,116,66.8
GA-193,Macon County,Georgia,65.7,1.8,118,63.9
GA-195,Madison County,Georgia,63.5,3,128,60.5
GA-197,Marion County,Georgia,65.1,1.5,115,63.6
GA-199,Meriwether County,Georgia,63.6,2,119,61.6
GA-201,Miller County,Georgia,67.6,1.3,113,66.3
GA-205,Mitchell County,Georgia,67.5,1.4,114,66.1
GA-207,Monroe County,Georgia,64.5,2,119,62.4
GA-209,Montgomery County,Georgia,67,1.8,121,65.2
GA-211,Morgan County,Georgia,64.3,2.8,124,61.6
GA-213,Murray County,Georgia,61.3,2.2,126,59
GA-215,Muscogee County,Georgia,65.3,1.5,114,63.8
GA-217,Newton County,Georgia,64,2.7,125,61.3
GA-219,Oconee County,Georgia,64,2.8,126,61.2
GA-221,Oglethorpe County,Georgia,64.2,3.1,129,61.1
GA-223,Paulding County,Georgia,62.2,2.4,124,59.9
GA-225,Peach County,Georgia,65.2,1.6,116,63.6
GA-227,Pickens County,Georgia,60.5,2.1,125,58.4
GA-229,Pierce County,Georgia,68.3,2.1,122,66.1
GA-231,Pike County,Georgia,64.1,2.1,120,61.9
GA-233,Polk County,Georgia,62,2,119,60
